Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009556743,0.106446012,0.01077566,0.046982901,0.003384571,0.24352175,0.197299261,0.104981849,0.114804389,0.059140455,0.010223965,
Afghanistan,AFG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,4.409574696,12.57896735,14.8661727,16.9461491,14.55329816,13.7309155,11.61954249,13.97424492,20.29962346,13.22422321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.450456006,,,10.21318028,,
Angola,AGO,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,3.04073582,,,,,,,7.176447654,13.3846842,19.94713774,26.84086642,31.39472746,51.64151368,,,,65.73949948,71.90704201,77.96925028,82.12398696,,,,,,,,,93.47768034,94.83153609,,,,,,,,,,,,,,,,97.22651578,,97.91634992,97.90754636,98.14098572,98.37016438,98.21726008,97.72272094,94.01590971,92.70105644,94.69125238,92.4178099,,
Albania,ALB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.988651627,1.720725345,1.169276448,2.155489292,1.851613171,1.448359255,2.009642961,1.029738468,2.627726012,8.623200527,13.68709309,7.451608185,21.7778132,11.59607813,17.95663564,21.1844238,26.58866504,30.99413749,1.567523363,8.806638495,11.17506252,0.824033254,1.662666252,,
Andorra,AND,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169823572,0.008018514,0.006129118,0.014447217,0.097847734,0.13347072,0.201277204,0.003408503,0.007184215,0.002091559,0.001390664,0.000877374,0.016494951,0.006398305,0.067418822,0.00171579,0.00296783,0.095507636,0.126282543,0.113812116,0.044490658,0.010607457,0.008582162,0.013638665,,
Arab World,ARB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,80.30117215,82.20293902,81.84129951,,88.02871233,86.79441769,,,,,,,,,,,,60.64260487,63.51425842,62.44113442,,,,,,81.98243774,84.65164074,84.46415907,74.78499155,72.46616954,75.69320783,75.70584677,78.88310535,79.55863268,79.33019871,71.172365,74.52291805,74.78166821,71.18385181,74.58284299,72.28756478,64.72476523,64.98993582,63.67176454,72.49142985,74.23404564,
United Arab Emirates,ARE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,94.91209647,92.02700229,,,,21.30976295,,,,,,,,7.297511105,10.30426867,9.113302687,,,,,,91.2876719,93.84383582,91.78319708,55.726109,48.27282673,54.05863479,57.73031086,62.25327591,63.71975843,62.30491,43.52460139,49.98958427,53.5351087,47.23141808,55.84504638,50.79041319,37.65155235,31.55897402,36.00316543,68.5547547,77.95149208,
Argentina,ARG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,1.080846673,0.822615007,0.432268863,0.615568721,0.878622057,0.525258658,0.905895163,0.358795438,0.429985458,0.488016439,0.322420189,0.171398382,0.314088278,0.494938172,0.503027415,0.492338389,0.807152517,0.62153584,3.464286932,6.780998477,7.1879412,4.265832302,4.091021674,7.307023528,2.241260118,1.34305051,,,,,8.839306055,9.415964601,10.42118139,10.33985005,12.96900986,11.6985744,8.611764478,12.11682383,17.62418306,17.02721434,17.00623791,17.08306339,16.00028985,16.39614556,15.26331658,10.92630873,9.37098201,10.16524495,7.903177247,5.972465247,6.228469233,4.682107921,4.677989964,2.538594693,2.496267974,2.785000913,4.119374634,3.597788081,
Armenia,ARM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733173669,,8.267987709,10.12367502,7.86912486,3.175955365,1.962691791,3.052027672,2.219209803,2.032253173,1.196459994,0.259782913,0.090387686,3.0215446,7.92916666,7.445168328,5.743958732,5.944471079,5.919733646,3.488829974,3.583988406,3.730996312,2.848548307,
American Samoa,ASM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,95.52496354,95.58053694,91.9452984,,0.083817485,0.015360385,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,0.724794167,,0,,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,3.090529041,2.792618398,3.14492325,3.473815246,3.708591856,4.643527251,4.846593543,5.584824481,6.423086672,6.330870394,6.315477161,8.836919486,11.87486662,12.76315828,13.61313021,14.1659178,12.2444724,11.13926396,16.00640297,18.21982862,23.15693871,24.35702705,26.91108933,22.82888029,20.93769507,16.18896466,16.41151987,19.96695021,21.59181314,21.17058509,20.42479864,17.32911323,17.60937145,17.74435948,18.54558474,17.91970504,18.25379814,20.89465252,20.76326344,20.68858789,19.78914032,20.2580998,25.59544201,24.04263787,22.75348194,32.04018598,29.50697608,28.88070352,28.14109116,28.44550627,25.86532755,26.59905921,25.29081318,25.59709319,21.24677706,23.06971972,18.92736246,
Austria,AUT,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,2.352345715,2.996829695,3.321868921,3.416796377,3.191946821,3.002992346,2.518273458,2.542447599,2.038540087,1.994948724,2.166289753,2.044556314,2.089006539,1.880161387,1.941623277,1.568401568,1.439499622,1.568812245,1.74027377,1.533035994,1.40389829,1.488556749,2.022245438,1.21354689,1.763830757,1.284382824,1.273324633,1.009228717,0.929813141,1.056991326,1.12030983,1.298785347,1.002068155,1.228883465,1.23907158,1.027700634,1.177970074,1.2607333,1.855734187,2.249066072,2.548905642,3.176569957,4.603332185,5.268187712,2.664556723,3.356512324,3.440744346,3.210142653,3.376349888,3.662107129,2.701442124,2.393952745,1.961186893,1.691665582,1.898545409,2.094994851,2.218090032,
Azerbaijan,AZE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.39479921,61.44960994,68.9329892,78.6030408,85.08249235,91.32828868,88.92083001,86.00897294,82.21637515,76.76372296,84.59112246,81.39894259,97.08278486,92.85670784,94.5094628,94.74738942,93.41933132,92.99580936,92.76129673,88.46164596,91.69962456,90.5986912,91.73638884,90.65263371,
Burundi,BDI,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,0.005551244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008726619,,,,,,,,,,0.321407693,0.005977658,0.033408359,0,3.78278962,0.795630709,1.396522743,2.068497109,0,9.34E-05,0.000195384,0.032770258,0.004725829,0,0.001006228,0.023524792,2.635456378,
Belgium,BEL,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,3.810327816,4.493404592,3.929072966,3.241171439,2.772784161,2.775064801,3.1194529,3.30144183,2.667353416,2.68136877,2.904667458,2.851852505,3.333554543,4.842615925,4.796044369,5.372709171,4.269222625,6.286865034,8.301193099,8.982651226,8.589350782,8.309233742,7.812220273,6.451048806,4.801830561,3.686857494,,,,,,,,,,,,2.904679671,4.573264103,4.015441813,4.346687487,5.348459911,5.769184856,7.071732101,7.945342851,7.081015884,9.305894371,7.511098324,8.900679272,10.83382287,11.5472079,12.99136752,11.41159721,8.37616033,6.920148846,8.350690544,9.442898239,8.228367475,
Benin,BEN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.117962927,0.105524532,0.127987683,0.134450674,0.208814319,0.067484708,0.077720656,0.081371818,0.152456259,0.013171839,0.019950042,0.013583675,4.864261984,,,,,2.270102034,4.203018097,,3.92913016,,,,,,,,,,,,,,,,1.197415655,0.65442903,,0.009510428,0.232344231,0,0,0,0.381017075,3.063881291,0.266725847,0.0083179,0.010728003,0.105566632,0.005118762,0.002370158,0.254303759,3.633546779,0.047005635,2.499615398,0.004397838,3.01134187,
Burkina Faso,BFA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.205041138,0.18511853,0.110452375,0.005970015,0.089027602,0.015953289,0.015988703,0.006441547,0.010791428,0.023398884,0.024010836,0.515611778,0.014863748,0.001440367,,0.056354739,0.139081786,0.575745956,0.114979794,0.170724771,0.004238374,0.001828973,,,,,,,,,,,,0.101120098,0.142014873,1.582231552,1.103946213,1.080257381,3.15566795,2.912570515,0.000863673,0.039216857,0.04167416,0.019076586,,0.004418956,0.023389651,0.011753751,0.016156398,0.004132525,3.136997611,4.667665405,5.225391051,0.008813102,0.423215904,0.48447613,0.828306272,0.612179593,
Bangladesh,BGD,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,1.534776128,1.210929296,,0.000883885,0.001754972,2.236837098,3.715179287,1.877380972,2.545890922,1.734343609,0.8663757,,1.227176864,1.278832738,2.062247472,0.893245569,0.855248611,0.475689231,0.449813472,0.268252187,0.382926321,0.222245801,,0.229218459,0.156029793,0.305510456,0.323339463,0.468507399,0.579319821,0.761449864,1.622826356,1.41061911,1.726658639,1.873404523,1.151975632,1.823733599,1.135494926,,0.561290721,,,,,
Bulgaria,BGR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.505242223,7.592883784,6.238058869,7.000795038,11.68562328,8.969154999,6.006384036,5.810626645,7.993896452,10.37736414,13.28302768,14.60377177,16.06120056,12.58324906,13.29463255,13.12954538,16.17053907,14.7266672,12.60421199,10.61562134,9.012918879,9.90937157,8.892582897,9.528349083,
Bahrain,BHR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,77.87215097,81.41452957,78.28150084,80.62253411,84.47690923,81.45615271,78.95787481,78.63228041,79.65928143,0.727744592,0.290528101,0.213286222,0.129751979,0.057021754,0.175614336,0.072613676,0.034291311,0.00424573,,,,,,,55.54908803,53.12921698,0.017637078,,,,0.039546245,66.93351976,69.36640397,72.51859669,75.54372597,78.15928028,80.5878627,80.82879531,69.06228872,68.60204297,74.3474764,71.84417012,64.14720382,59.00279195,66.83464887,50.35666145,45.01731421,50.17711035,53.32039162,,
"Bahamas, The",BHS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,91.83641197,94.50777864,90.81265741,,,,95.43622222,92.16341916,88.41569105,89.65853958,84.32924662,65.69229201,49.66218445,37.45428186,,,,,,,,,,,0.000476776,0,0,0,0.010134565,0,0,,0,0,0,0,0,0,0.002020524,0,0,0,11.30082821,15.35774303,19.37421963,,
Bosnia and Herzegovina,BIH,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.481097975,7.81576837,8.883607809,8.172263188,7.918839669,9.805676068,13.19117805,15.08671505,13.97276535,8.960863379,11.38489624,9.601022924,7.010000862,6.799718182,8.362803961,9.780658904,8.09164701,
Belarus,BLR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.782475604,9.063457846,19.81214174,17.77815314,20.25221197,22.06119549,26.88989367,34.78134404,38.31545746,35.0680055,37.11889895,37.44466935,27.74925094,35.04875265,35.5859992,32.37241909,33.49205242,29.13870675,20.59956568,23.56738556,25.13568777,20.69851757,
Belize,BLZ,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,1.554946775,2.561191338,2.552133378,2.116395776,0,0,,0,,,,,,,,,,0,0,0,0,0.000346466,0,0,45.61641204,0,,,0,0,9.66E-05,16.54786301,28.20803539,40.26231353,27.97423231,36.15245717,42.84809876,27.45513067,20.96708596,16.67050639,6.83236416,5.653646672,5.150554624,6.265706345,4.944905128,
Bermuda,BMU,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,3.650097871,10.38532336,13.35897294,27.88019825,34.43960198,34.46650666,41.68154871,39.78249927,55.03362435,44.37915876,37.83049537,0.090702357,0.8553627,0.001045766,0.002942026,,,,,,,,,,,,,,,,,,,,,,,,,,,6.320066191,,,0.047666377,0.188436539,0.151351974,0.054280592,0.010546891,
