Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.012598924,4.130796618,4.79098829,11.25918122,5.140044047,7.322688277,4.968985791,4.042414418,6.540014545,8.314287698,4.35366898,
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62811007,16.23305508,24.23088033,5.780095724,,
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.328193373,1.464517198,1.016872891,0.926806811,0.890238032,0.257234811,1.634190385,0.784313359,0.088456603,0.044701906,,
Andorra,AND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79385021,16.38991517,12.18845925,23.62984149,18.49709081,20.653714,23.59804612,20.68648753,22.64484316,24.2802468,23.25132289,28.46079139,,
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82528878,1.819628849,3.951732335,3.228723217,1.872403363,1.761051034,2.13274432,1.695651784,
United Arab Emirates,ARE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.362965668,,,,3.766661334,3.60713495,10.35817374,5.311027422,2.617915296,2.721423758,3.052401088,2.162975059,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.038995659,9.380306072,9.072411085,7.748539738,7.359094505,6.674939563,7.485894854,7.088182385,9.282262488,9.022443729,9.247428305,5.402984041,5.21279068,
Armenia,ARM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139896007,1.573331283,2.842802044,2.324428013,3.373336197,2.850901413,3.027848224,3.021633743,5.651814027,6.13781179,7.550863596,7.055598424,9.794845162,
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026055614,0.375050372,0.613426845,,
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.61950273,15.41497159,16.7798091,16.63547086,18.11314422,17.34872458,18.08936181,19.09525207,19.81792696,20.73105115,17.96185454,18.32479628,21.5247036,
Austria,AUT,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98428367,12.66521649,13.43983175,13.70791913,13.25781917,14.546138,15.37014895,15.49076884,15.034673,14.45812551,12.88668608,11.655288,11.49867138,
Azerbaijan,AZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.309531058,1.149992989,1.016460646,1.36855164,1.789469204,8.559600609,13.77614203,8.637813107,4.464668791,2.853777778,3.301082291,4.345525454,4.956043573,
Burundi,BDI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305334494,1.457298325,3.492667709,3.195982557,1.663621512,17.04276442,1.531362084,
Belgium,BEL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.480223583,8.961013121,11.36851865,11.1880498,10.56377922,11.886171,12.04661106,13.38229231,13.65872527,13.1894703,10.69366919,10.42219272,12.02089268,
Benin,BEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275855655,4.135344225,0.964424885,1.244882881,3.581709205,2.842001305,1.249986579,
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745313488,7.907497369,7.313790573,8.636258332,13.99286081,11.0463358,5.286721738,5.944967307,5.929276876,5.937123392,25.8025793,
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435964057,0.305868196,0.213042263,0.194943639,0.463362869,0.299088588,,0.307870408,,,,,
Bulgaria,BGR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.328294485,7.015804699,8.690957534,8.422352084,7.835516063,8.049051235,8.284397487,7.565260353,8.433162414,8.977701443,9.647832999,10.37540761,10.85245268,
