Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02641296,,,,,,,,,,99.13841248,,,,,,,,99.5,,
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,30.06635094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99005127,,,,,,,65.42054749,,
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19448853,,,,,,,,,,,,,77.43112946,,,,,,
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43515015,,,,,,,98.83120728,,,98.7911911,99.23139954,,,,,,99.33000183,,
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,61.21455002,61.55192184,61.93772125,62.49095917,63.2040596,63.90309143,64.6867981,65.87438202,67.04839325,68.39916229,69.28211212,70.38642883,71.40187073,72.49598694,73.96469879,74.92014313,74.66314697,75.51257324,76.38603973,77.44602203,78.23993683,78.91464996,79.62744141,80.18483734,81.14054108,82.12361908,83.01048279,83.64240265,84.06600952,82.64806366,83.389328,84.04508972,81.33586884,81.68144989,82.01580048,85.90534973,86.29377747,87.18570709,83.81764984,86.08724976,86.6084671,82.83087158,82.90794373,
United Arab Emirates,ARE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,63.04761124,,,,,,,,,,82.47264099,,,,,,,,,,,,,,,,,,,,95.00644684,,,,,,,,,,99.43000031,,,,,
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,96.88253784,,,,,,,,,,,98.30464172,,,,,,,,,,98.91665649,,,,,99.44608307,,,99.58428955,99.29863739,99.62824249,99.37586975,99.55132294,99.29670715,99.55970001,99.50270844,,99.50552368,,
Armenia,ARM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90995789,,,,,,,,,,,,99.80728149,,,,,,,,,,99.84739685,,,,,,99.84702301,,,
American Samoa,ASM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,97.65421295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88610077,,,,,,,,99.989151,,99.95130157,99.95059967,99.94409943,99.93675232,99.95246887,99.9569931,99.94277954,99.94048309,99.93804932,,,
Burundi,BDI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,30.9765892,,,,,,,,,,,53.55521011,,,,,,,,,,73.33006287,,,,,,,,61.7387886,,,,,,79.55960846,,,88.22177124,,,
Belgium,BEL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,29.78673935,,,,,,,,,,,,,39.8766098,,,,,,,,,,45.3096199,,,,42.36270142,,,,,,52.49246979,,,,,,60.94807816,,
Burkina Faso,BFA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,14.37751961,,,,,,,,,,,,,,,,20.18029022,,,,,19.41415024,,,,,,,31.22925949,,32.9666214,32.73059845,39.25777817,,,,,,,50.09629822,,,,58.29000092,,
Bangladesh,BGD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,35.65325165,,,,,,,,,,44.68082809,,,,,,,,,,63.62273026,,,,,,61.87281036,,,,77.98499298,77.83290863,85.52715302,85.55473328,87.88877106,92.24265289,92.95075989,93.29644012,94.86242676,
