Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11999893,61.40000153,62.24000168,62.36999893,62.15999985,62.54999924,62.86000061,63.08000183,63.31000137,63.65000153,64.01999664,61.97000122,61.15000153,60.50999832,59.29999924,58.38999939,57.29000092,56.36000061,53.88999939,51.38999939,50.20000076,47.81000137,45.88000107,44.09000015,42.29999924,40.65999985,38.36000061,37.25999832,36.59999847,
Angola,AGO,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15000153,33.54000092,33.63999939,33.02999878,32.58000183,31.98999977,31.84000015,32.06999969,30.65999985,30.19000053,30.44000053,29.21999931,28.97999954,28.14999962,30.14999962,32.63999939,35.02000046,37.56000137,40.20000076,42.54000092,44.52000046,44.09999847,43.99000168,44.15000153,44.54000092,44.79999924,44.79999924,44.75,44.65000153,
Albania,ALB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.61000061,52.63000107,52.13999939,51.59000015,50.84000015,49,48.72000122,47.93999863,46.31000137,44.91999817,42.95999908,41.70000076,40.93999863,39.77999878,38.56000137,37.43000031,36.68000031,35.75,35.04999924,34.25999832,38.81000137,37.59000015,37.56999969,36.75999832,36.74000168,36.29000092,34.95999908,33.72000122,32.70999908,
Andorra,AND,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01790772,32.24341026,31.64106309,31.2044899,30.4609837,29.83347707,29.30730508,28.87627007,28.44530098,28.17578473,27.86992488,27.36671192,26.93557113,26.67127154,25.62455844,24.97174288,24.02947296,23.3325867,22.11910118,21.12879565,20.84995336,20.33010423,19.96475338,19.75611771,19.33548208,18.95978751,18.50229848,18.08375306,17.57412227,
United Arab Emirates,ARE,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.409999847,9.289999962,9.180000305,9.029999733,9.039999962,9.020000458,8.979999542,8.979999542,8.960000038,8.239999771,7.590000153,6.960000038,6.389999866,5.860000134,5.380000114,4.920000076,4.510000229,4.119999886,3.789999962,3.480000019,3.180000067,2.900000095,2.640000105,2.380000114,2.160000086,1.940000057,1.75999999,1.669999957,
Argentina,ARG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479999989,0.460000008,0.550000012,0.589999974,0.790000021,1.129999995,1.159999967,1.139999986,1.100000024,0.980000019,1.220000029,1.350000024,1.690000057,1.860000014,1.659999967,1.440000057,1.610000014,1.769999981,1.820000052,1.879999995,0.879999995,0.839999974,0.889999986,0.819999993,0.389999986,0.189999998,0.090000004,0.119999997,0.079999998,
Armenia,ARM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.15999985,41.27999878,41.84999847,41.63999939,41.27000046,40.97000122,40.68999863,39.97000122,39.49000168,38.81000137,37.77999878,36.52000046,35.11999893,34.04999924,32.79000092,31.37000084,30.15999985,31.70999908,34.13999939,31.63999939,33.13999939,31.34000015,29.04000092,29.94000053,31.22999954,30.76000023,28.30999947,23.39999962,21.69000053,
American Samoa,ASM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
