,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Afghanistan,5411,1514,3553,4385,3755,9056,5631,3595,6721,12174,5065,5394,6976,303,943,846,1804,4966,6988,5800,6633,7328,7539,7840,8754,19957,18947,23168,31648,32365,33108
ALG,Algeria,0,1,34,274,826,1943,3067,1091,2008,3284,1153,1178,674,1058,714,554,244,292,495,345,543,252,277,264,200,114,112,130,77,35,15
ANG,Angola,2873,2609,516,2352,12398,4009,238,34,105,1191,2667,1273,2161,584,84,38,15,3,26,8,25,10,4,4,2,0,1,26,26,24,26
AUL,,0,0,0,0,0,3,25,2,2,27,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,0,0,35,2328,1231,1519,62,5,29,34,18,13,6,0,0,8,25,7,12,30,7,20,21,25,12,46,72,141,36,17,11
BAH,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
BFO,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,171,814
BNG,Bangladesh,81,94,105,215,43,9,14,43,16,16,13,16,58,6,8,51,77,92,18,10,9,5,0,2,56,3,2541,4340,47,26,3
BOL,Bolivia,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,Bosnia-Herzegovina,0,0,0,7678,5812,3137,9723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,0,0,0,0,42,29,51,20,33,13,59,33,74,61,43,86,54,22,40,20,40,4,31,11,4,1,15,12,2801,2349,1296
BUI,Burundi,0,7,278,61,5,56,1547,2745,1515,1363,1012,2071,1253,1550,1289,684,378,185,79,220,0,0,0,10,9,50,220,14,61,120,107
CAM,Cambodia,820,377,322,193,484,572,730,846,445,282,0,4,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
CAO,Cameroon,0,6,50,25,47,102,0,56,0,52,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,13,4608,237,233,898,790
CDI,,0,0,0,0,0,0,0,0,0,0,0,6,0,31,10,49,16,1,0,0,0,42,746,16,4,0,0,0,0,0,0
CEN,Central Africa,0,0,0,3,4,0,0,0,0,0,5,6,220,152,19,3,8,190,143,3,91,59,172,92,3371,3322,716,689,1798,586,500
CHA,Chad,315,1393,95,1190,313,521,53,4,134,198,394,1070,226,324,37,0,100,1464,226,1004,131,49,0,309,37,107,380,279,409,1001,442
