,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Afghanistan,145,45,64,76,114,244,218,234,199,217,189,207,226,38,185,247,434,843,1033,1118,1534,1844,2215,2304,2063,3324,2400,3075,4112,4465,5168
ALG,Algeria,0,1,4,120,269,350,395,123,128,383,221,248,80,225,209,222,73,91,128,111,193,92,126,124,73,45,48,30,26,10,9
ANG,Angola,260,181,19,38,220,322,76,29,35,110,245,145,124,71,36,19,13,12,22,11,9,4,4,3,1,6,3,18,24,6,16
AUL,,0,0,0,0,0,3,10,1,1,9,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,0,0,3,190,79,59,15,3,3,4,6,7,5,0,0,3,23,10,11,7,6,14,20,17,11,33,50,32,21,18,12
BAH,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
BFO,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,46,135
BNG,Bangladesh,20,26,35,28,18,5,13,22,11,10,17,2,26,4,15,37,64,72,13,10,8,8,1,2,41,3,300,483,22,18,2
BOL,Bolivia,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,Bosnia,0,0,0,382,613,443,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,0,0,0,0,4,6,8,3,10,3,12,11,10,17,7,12,16,3,9,5,3,2,3,2,1,1,8,2,64,90,263
BUI,Burundi,0,1,10,3,5,19,90,85,86,72,93,188,115,194,153,81,90,53,25,22,0,0,0,2,1,3,28,14,39,42,38
CAM,Cambodia,46,25,18,17,82,73,105,89,51,38,1,4,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
CAO,Cameroon,0,1,1,3,5,8,0,3,0,4,0,4,2,0,0,1,3,0,0,1,1,0,1,0,0,2,349,39,80,195,206
CDI,,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,1,1,0,0,0,9,77,3,2,0,0,0,0,0,0
CEN,Central Africa,0,0,1,1,3,0,0,0,0,0,1,1,22,14,5,2,6,42,23,3,16,18,15,14,188,434,148,71,212,78,65
CHA,Chad,5,22,6,31,15,17,17,3,8,9,11,14,5,9,4,0,1,27,16,17,8,4,0,14,3,24,30,33,37,170,48
CHN,China,3,3,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,0,1,16,3,0,0,0,0,0,0,0,2,0,0
COL,Colombia,53,100,128,103,47,70,78,150,181,145,206,338,347,501,243,660,536,119,101,77,83,88,60,37,22,47,32,16,13,57,55
COM,Comoros,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON,Congo,0,0,0,1,10,9,1,2,60,54,48,0,1,24,6,0,5,0,1,0,0,0,0,0,0,1,1,4,3,0,0
CRO,Croatia,0,0,0,32,55,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,Djibouti,0,0,6,10,8,3,1,0,1,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2
DRC,DR Congo,3,4,8,11,20,7,13,190,130,107,155,92,46,118,75,23,11,63,91,60,117,12,37,95,119,54,66,155,435,364,321
ECU,Ecuador,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,Egypt,0,2,0,5,43,76,119,75,34,10,2,4,0,0,0,3,4,2,0,2,2,0,4,2,46,45,59,35,94,82,65
ERI,Eritrea,0,0,0,0,1,0,0,2,9,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
ETH,Ethiopia,72,110,46,16,14,5,8,14,4,24,58,86,54,125,69,128,91,105,146,102,96,105,99,89,87,55,112,189,103,133,107
GAM,Gambia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GEO,Georgia,0,0,6,94,113,0,3,0,5,0,0,0,0,0,0,12,0,0,0,12,0,4,1,0,0,0,0,0,0,0,0
GHA,Ghana,0,0,2,2,1,9,8,0,0,0,0,1,1,1,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0
GNB,,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRG,,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUA,Guatemala,78,110,74,64,51,38,27,11,1,1,0,0,1,2,0,4,5,0,1,3,1,0,0,0,18,38,46,101,229,447,597
GUI,Guinea,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,1,6,21,0,3,1,1,4,3,0,1,0,0,0,2
GUY,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HAI,Haiti,4,2,8,0,3,4,1,0,0,0,2,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HON,Honduras,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,4,0,0,0,1,0,5,1,4,0,3,0,2,0,0,1
IND,India,117,331,213,237,324,242,226,174,269,354,454,1290,420,1007,720,765,912,933,726,676,844,781,405,423,348,412,319,420,418,481,361
INS,Indonesia,5,46,38,15,9,9,21,17,37,30,326,157,99,265,226,359,33,3,1,3,0,0,4,1,6,4,3,0,3,7,9
IRN,Iran,0,14,4,5,28,5,7,5,15,7,10,25,20,0,1,0,16,23,22,21,14,13,20,6,4,2,9,27,12,26,43
IRQ,Iraq,2,25,111,46,29,29,50,49,22,1,7,6,1,4,104,343,506,533,449,394,351,362,179,255,509,1003,1039,613,535,145,128
ISR,Israel,78,54,54,91,122,90,70,66,52,39,27,74,182,376,155,269,120,410,239,155,140,38,35,30,9,322,15,9,9,34,45
IVO,Ivory Coast,0,1,1,0,0,0,0,1,0,1,2,5,1,46,38,23,20,6,3,4,1,12,81,2,0,0,0,0,0,0,0
JAM,Jamaica,1,0,0,0,0,1,0,0,0,0,0,0,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
KEN,Kenya,1,1,1,26,17,13,4,6,10,12,4,7,17,4,2,1,27,22,51,106,17,22,13,30,7,6,25,42,83,50,33
KYR,Kyrgzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LAO,Laos,1,6,0,0,1,0,0,0,1,0,1,2,0,2,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,6,139,21,27,47,96,54,34,3,1,3,5,27,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LEB,Lebanon,190,72,12,20,19,21,26,16,13,16,16,18,0,0,0,0,0,0,0,5,0,0,0,6,23,25,17,9,18,1,0
LES,Lesotho,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,Libya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,6,16,105,136,174,79,107,188
