Fuel,Imports
4.99442694,382
97.90754636,169
17.95663564,5
7.903177247,48
3.0215446,248
3.210142653,15
94.5094628,44
8.900679272,9
0.016156398,10
1.873404523,754
13.29463255,2
74.3474764,15
15.08671505,1
27.74925094,331
43.26881017,34
9.827587485,168
0.1838424,8
25.32436784,174
2.819099845,13
0.937953761,1
1.690563097,1347
49.5472815,4
57.15978392,13
0.002351016,19
1.96777435,33
19.66967537,8
8.070669314,45
98.31087794,164
55.30301856,3
5.078957813,40
15.75573809,54
0.005977901,74
8.007788112,66
3.658112685,99
19.66967537,25
12.37406028,342
5.033442853,6
0.11429416,4
26.07657499,93
4.517712727,14
0,2
8.072304102,23
12.46732181,5
2.655534079,16
29.63941095,217
1.130116681,36
70.80181726,3
99.70458733,175
0.86528471,546
4.638894048,183
22.61307875,3
1.077029244,224
1.695026164,899
71.68062897,312
4.195350875,16
7.42229639,15
0.000103594,1
92.75187318,51
0.870340669,27
0.132265055,74
0.157835034,59
0.072397122,1
23.35027875,61
5.30562594,25
3.310519878,28
6.650837104,4
13.76824477,3
0.008645825,15
35.18162978,233
1.692794631,17
19.65359396,22
14.42960652,34
15.84641728,65
1.564277897,4
87.13263968,18
1.229212214,13
10.16386498,497
63.69837659,379
4.52E-05,36
77.75877952,86
5.711194705,521
2.053277462,189
4.154724359,325
6.409584682,43
30.49002593,2
5.300270381,13
0.068473445,1
84.95255705,18
20.90652607,42
16.05840909,636
2.922917247,6
19.66967537,8
10.61487274,157
5.321070353,36
6.981702786,7
19.66967537,1
0.099620273,1
4.937691549,295
39.55146268,4
14.17244492,15
3.836359723,754
1.208263087,36
7.119200337,26
3.099503226,1
7.184568597,866
39.55146268,53
0.5543297,38
