Fuel,Male_ag,Electricity,School_enroll,Low_income,Expense_Capita
0.86528471,1.580000043,100,1.012850046,5.8,2357.5
87.62086325,4.980000019,100,0.977729976,5.8,2209.8
7.184568597,1.909999967,100,0.994700015,5.2,2086.5
16.05840909,0.140000001,100,0.995630026,6.825,1837.9
92.75187318,3.109999895,100,0.997385723,5.8,1731.9
77.75877952,5.739999771,100,0.990920007,5.8,1566.5
63.69837659,3.480000019,100,0.977540016,8.9,1412.7
74.3474764,1.360000014,100,1.021550059,5.8,973.4
12.37406028,1.620000005,100,1.01304996,8.053333333,829.3
8.070669314,4.050000191,100,0.999819994,9.3,792.5
3.658112685,3.880000114,100,1.000519991,8,791
8.007788112,5.889999866,100,1.057899952,9.3,680.3
10.16386498,3.680000067,100,1.005849957,8.9,651.5
0.950253839,1.669999957,100,1.000280023,6.6,650.8
25.32436784,2.329999924,100,1.003329992,5.2,613.1
6.981702786,3.029999971,100,1.041970015,7.7,574.9
1.96777435,1.960000038,100,0.960990012,8.053333333,558.5
26.07657499,13.03999996,100,0.975350022,7.2,547.1
2.819099845,4.019999981,100,0.970459998,7.5,546
4.638894048,4.480000019,100,0.978990018,8.053333333,468.8
15.75573809,6.429999828,100,1.015769958,8.1,464.8
65.64829331,9.170000076,100,0.977890015,7.1,422.8
8.900679272,1.570000052,100,1.07336998,8.9,421.5
6.409584682,12.56999969,100,0.98605001,7.4,416.7
0.132265055,13.98999977,99.99239349,0.997385723,5.8,404.6
5.078957813,5.71999979,100,1.016860008,6.2,381.7
3.210142653,5.050000191,100,0.97408998,7.9,381
0.002351016,3.799999952,100,0.983219981,8.4,378.7
23.35027875,11.42000008,100,0.975830019,6.6,377.1
3.099503226,12.21000004,100,1.054409981,5.9,368.5
5.30562594,11.97999954,100,0.997439981,7,367.8
1.695026164,4.099999905,100,1.014310002,7.9,366.5
4.154724359,13.27000046,100,0.98022002,8.2,317.5
0.937953761,13.34000015,100,0.985650003,4.6125,296.1
4.230779202,8.850000381,100,1.013360023,10.1,254.8
3.836359723,17.71999931,99.99124908,0.979900002,5.8,238.6
12.46732181,12.31999969,100,1.032649994,7.8,232.5
1.130116681,9.409999847,100,1.06024003,8.053333333,229.8
98.31087794,12.28999996,98.76466047,0.979406245,6.45,226.9
5.300270381,28.68000031,100,0.998149991,5.4,223.5
0.005487114,48.71574447,98.6097641,1.062379956,7,222.1
0.1838424,27.60000038,53.38058853,0.979406245,6.45,221
57.15978392,24.39999962,97.032176,1.013210058,4,204.1
1.077029244,3.589999914,99.5,1.002239943,5.8,196.5
1.270562681,28.04999924,46.46304321,0.979406245,6.45,186.1
2.655534079,7.019999981,100,0.994589984,8.2,184.6
3.0215446,31.34000015,99.89702606,1.022830009,8.1,173.9
94.5094628,31.73999977,100,1.002619982,8.65,168.1
99.70458733,22.40999985,99.3,0.997385723,5.8,164.4
1.690563097,36.29000092,99.9748764,1.014310002,7.9,162.9
25.57537076,1.429999948,100,1.00406003,8.6,152.2
55.30301856,32.36000061,97.194929,1.021919966,4.6,149.2
70.80181726,17.29999924,99.46337891,0.997385723,5.8,137.3
13.29463255,8.380000114,100,0.976819992,5.7,136.3
9.827587485,15.42000008,99.519494,1.00301833,3.1,134.5
10.75553352,5.730000019,100,0.989380002,7.32,125.7
19.66967537,23.79999924,89.3,0.979406245,6.45,123.3
66.12198112,5.440000057,100,0.999298564,4.58,119.4
15.84641728,15.93000031,99.8,0.996621421,6.825,109.3
3.310519878,32.04000092,93.75356293,0.941470027,6.45,102.6
4.937691549,43.66999817,99.10862355,0.988979995,7.2,99
7.119200337,20.59000015,99.86749117,1.000046671,9.9,94.2
10.61487274,22.45999908,100,1.006559968,7.32,92.9
7.903177247,0.839999974,99.49785614,1.00301833,5,86.6
71.68062897,26.04000092,99.79270172,1.012189984,9.8,85.8
5.033442853,43.91999817,100,1.012490034,6.5,83.4
9.342765974,28.53000069,91.099508,0.958109975,5,82.8
0,24.43000031,85.00498199,1.00301833,4.6125,79.3
0.157835034,29.70000076,87,1.024160028,9.1,77.2
27.74925094,13.43999958,100,0.990570009,10.1,75.1
14.17244492,17.56999969,99.5,0.979406245,6.45,73
22.61307875,25.87999916,93.1,0.989049971,4.58,71.4
97.90754636,44.09999847,35.66650009,0.979406245,3.8,64.4
36.15245717,26.56999969,91.99225616,0.987559974,4.58,63.2
10.71023368,5.760000229,85.3,1.003010035,6.45,62.7
17.95663564,37.59000015,99.9,1.01730001,7.32,61
7.679556245,17.12999916,100,0.986109972,6.1,57.4
67.72045179,35.75,41.6,0.979406245,6.45,55.7
